Name,Category,Price
Beef/Lamb Gyro Pita,Gyros And Pitas,12.50
Pork Souvlaki Pita,Gyros And Pitas,12.50
Falafel Pita,Gyros And Pitas,12.50
Chicken Souvlaki Pita,Gyros And Pitas,12.50
Chicken Gyro Pita,Gyros And Pitas,12.50
Pork Gyro Pita,Gyros And Pitas,12.50
Beefteki Pita,Gyros And Pitas,12.50
Veggie Pita,Gyros And Pitas,12.50
Burger,Gyros And Pitas,12.50
Gyro Bowl,Bowls,13.25
Gyro Plate,Plates,16.75
Souvlaki Plate,Plates,16.75
Kids Plate,Plates,8.95
Gyro Salad,Soup & Salads,11.95
Greek Salad,Soup & Salads,11.25
Prasini Salad,Soup & Salads,9.75
Soup,Soup & Salads,6.25
Side Salad,Soup & Salads,4.50
Side Greek Salad,Soup & Salads,5.50
Fries,Fries,4.50
Greek Fries,Fries,8.75
Nicks Fries,Fries,12.50
Froyo,Desserts,5.95
Froyo W/Chocolate Shell,Desserts,6.95
Loukoumades,Desserts,6.95
Baklava,Desserts,4.00
Side Skewer,Sides,5.50
Side Gyro Or Falafel,Sides,5.75
Hummus With Pita,Sides,7.95
Pita Bread,Sides,3.00
Side Sauce,Sides,0.50 - 1.00
Side Rice,Sides,4.00
Scoop Hummus,Sides,4.95
Fountain Soda,Beverages,2.50
Bottled Water,Beverages,2.75
Greek Sparkling Water,Beverages,3.50
Iced Tea,Beverages,2.95
Loux,Beverages,2.95
Pepsi,Beverages,3.25
Starry,Beverages,3.25
Dr. Pepper,Beverages,3.25
Crush Orange,Beverages,3.25
